id,respuesta_id,escala_id,puntuacion,maximo,porcentaje
1,6,1,3.9,6.5,60.0
1,6,5,2.4000000000000004,4.0,60.00000000000001
2,6,1,4.9,6.5,75.3846153846154
3,6,1,9.9,16.5,60.0
4,6,1,5.7,10.0,57.00000000000001
5,6,1,3.0,5.0,60.0
5,6,2,3.2,7.0,45.71428571428572
5,6,3,6.5,6.5,100.0
5,6,4,2.0,5.0,40.0
5,6,5,8.0,10.0,80.0
5,6,6,6.5,8.5,76.47058823529412
5,6,7,6.8,8.0,85.0
5,6,8,3.0,5.0,60.0
5,6,9,5.0,5.0,100.0
6,7,1,4.0,5.0,80.0
6,7,2,4.6,7.0,65.71428571428571
6,7,3,6.5,6.5,100.0
6,7,4,4.0,5.0,80.0
6,7,5,8.0,10.0,80.0
6,7,6,6.5,8.5,76.47058823529412
6,7,7,7.4,8.0,92.5
6,7,8,3.0,5.0,60.0
6,7,9,5.0,5.0,100.0
7,8,1,3.0,5.0,60.0
7,8,2,7.0,7.0,100.0
7,8,3,2.9,6.5,44.61538461538461
7,8,4,5.0,5.0,100.0
7,8,5,6.0,10.0,60.0
7,8,6,8.299999999999999,11.5,72.17391304347825
7,8,7,6.4,9.0,71.11111111111111
7,8,8,5.0,5.0,100.0
7,8,9,3.0,5.0,60.0
8,9,10,0.0,5.0,0.0
8,9,13,0.0,35.0,0.0
8,9,11,0.0,15.0,0.0
8,9,12,0.0,40.0,0.0
8,9,16,0.0,15.0,0.0
9,9,10,1.0,5.0,20.0
9,9,13,7.0,35.0,20.0
9,9,11,3.0,15.0,20.0
9,9,12,8.0,40.0,20.0
9,9,16,3.0,15.0,20.0
10,9,10,1.0,1.0,100.0
10,9,13,7.0,7.0,100.0
10,9,11,3.0,3.0,100.0
10,9,12,8.0,8.0,100.0
10,9,16,3.0,3.0,100.0
11,9,10,1.0,1.0,100.0
11,9,13,0.7,0.7,100.0
11,9,11,0.3,0.3,100.0
11,9,12,0.8,0.8,100.0
12,9,10,1.0,1.0,100.0
12,9,13,0.7,0.7,100.0
12,9,11,0.3,0.3,100.0
12,9,12,0.8,0.8,100.0
13,9,10,1.0,1.0,100.0
13,9,13,0.7,0.7,100.0
13,9,11,0.3,0.3,100.0
13,9,12,0.8,0.8,100.0
14,9,10,1.0,1.0,100.0
14,9,13,0.7,0.7,100.0
14,9,11,0.3,0.3,100.0
14,9,12,0.8,0.8,100.0
15,10,10,1.0,1.0,100.0
15,10,13,0.7,0.7,100.0
15,10,11,0.3,0.3,100.0
15,10,12,0.8,0.8,100.0
16,11,10,1.0,1.0,100.0
16,11,13,0.7,0.7,100.0
16,11,11,0.3,0.3,100.0
16,11,12,0.8,0.8,100.0
17,11,10,1.0,1.0,100.0
17,11,13,0.0,0.7,0.0
17,11,11,0.0,0.3,0.0
17,11,12,0.8,0.8,100.0
18,12,1,4.0,5.0,80.0
18,12,2,7.0,7.0,100.0
18,12,3,5.5,6.5,84.61538461538461
18,12,4,5.0,5.0,100.0
18,12,5,6.0,10.0,60.0
18,12,6,9.7,10.9,88.99082568807339
18,12,7,6.4,8.8,72.72727272727273
18,12,8,4.0,5.0,80.0
18,12,9,5.0,5.0,100.0
19,13,10,0.0,1.0,0.0
19,13,13,0.0,0.7,0.0
19,13,11,0.0,0.3,0.0
19,13,12,0.0,0.8,0.0
20,14,10,0.0,1.0,0.0
20,14,13,0.0,0.7,0.0
20,14,11,0.0,0.3,0.0
20,14,12,0.0,0.8,0.0
21,15,1,4.0,5.0,80.0
21,15,2,4.2,7.0,60.0
21,15,3,5.5,6.5,84.61538461538461
21,15,4,3.0,5.0,60.0
21,15,5,8.0,10.0,80.0
21,15,6,7.7,10.9,70.64220183486239
21,15,7,7.2,8.8,81.81818181818181
21,15,8,3.0,5.0,60.0
21,15,9,5.0,5.0,100.0
22,16,10,1.0,1.0,100.0
22,16,13,0.0,0.7,0.0
22,16,11,0.0,0.3,0.0
22,16,12,0.8,0.8,100.0
